predictions,reason,text,score
False,,We are a organization state-wide of a hundred community-based non-profits that serve the population served by this department on a daily basis.,0.0
False,,"We're here today, backing up the letter of support we filed in support of Mr. Doyle.  We think he's a fine guy for this job. I do want to make a couple comments though, related to some of the issues that we would ask you to keep a close watch on as this moves forward.",0.0
False,,"And it also, as the next appointment comes up, which is for the director's position. There's a few things going on right now, that are quite relevant to what's going to happen with this population and we absolutely look forward working to Mr. Doyle.",0.0
False,,They're looking forward to working with Mr. Doyle on these issues.  The federal government's come down recently with some massive changes proposed to the CMS guidelines that guide the funding relationship we have with the federal government for this population.,0.0
False,,"A lot of the direction they're seeking promotes independence in a model where people should be living as independently as they can out of the community among us.  That's absolutely the right spirit that we are all, you know, should be heading in the direction of.",0.0
False,,"However, some of the speed with which they want to move, could threaten a lot of people out in the community, in your districts, today and their family members who have certain arrangements set up and programs that they work with the individuals in the agencies in their community and, you know, literally if the federal government were allowed to move forward and some of the guidelines that with literally throw people out of existing programs because it wouldn't be funded anymore under federal funding.",0.0
False,,"And, we've got to keep a careful watch on that.  I think we're also at a point in time, where everybody would agree that the system has been, at least in the community which serves 270,000 Californians and their families every day, we are at a point of chronic underfunding.",0.0
False,,"And, we're looking for more from the department than just simply doing their job and following along in the budget process.  We are looking for leadership, we're looking for proposals to this body that will help fix these situations, and we ask that there be careful contemplation of policies like, for example, removing exclusions from over time or ...",0.0
True,toxicity,"Yeah, let me make two final points and I'll get out of your way.",0.042439267
False,,The other thing to consider is that we've had some massive claims of abuse at some of the existing institutions.,0.0
True,toxicity,"Sonoma Developmental Center had over thirty rapes and abuses of women, who really don't have the right to even, or the capacity, to give consent to sexual activity.  They have been raped, abused.",0.21076337
False,,"I'm not aware of a single termination or disciplinary action by the department yet, of employees who were involved in that.  I can't imagine living every day in the place where I was abused, with perpetrators or people who investigated these crimes being allowed to walk freely among there.",0.0
False,,"And, that wouldn't happen in the community.  In the community, people would be arrested, they would be prosecuted, programs to be closed.",0.0
False,,"The last thing on the developmental centers, it is a great idea to look at other uses.  We would ask the department and Mr. Doyle to look very carefully at the proposition of the $500,000,000 that we spend in the operations of developmental centers today and, probably, the $700,000,000 in property that we have today and look at some transfer of those assets into the community to address those problems that were raised earlier.",0.0
False,,We like Mr. Doyle  a great deal.  He has a great background for this with Department of Finance.  We've worked with him there.  We trust him to be a good person in this regard and we urge your confirmation. Thank you.,0.0
False,,"Jennifer Kuhn, Leg. Analyst. So, when the state started implementing the LCFF, that base year, it was 72% of funded. It had more generous targets and it knew that it would take a number of years to get up to those targets. Under the governor's budget we've estimated for 2015/2016, so just a few years later the state would be 85% funded. So it made considerable progress. It would be slightly ahead of schedule in that regard. Having said that though, because the targets are COLAed, you have to have growth in the guarantee that's quite a bit faster than COLA to make a serious dent in to getting there. Under our 5 year forecast, we have the last year of the period at about 90 some percent funded. So, still it would take again a number of years. Although we appear to be on track, it really depends on what happens to the guarantee moving forward. It's very straightforward to calculate. If we were at the full rates today, it would cost the state $57 billion and $9 billion of it would be associated with supplemental concentration funding for English learners and low-income students.",0.0
False,,"It's not quite as easy to say exactly how much that we're giving out can be associated with those students because it's really based on what they were given, and a closing of the gap, but what we do know by design how much they're supposed to get and some day we'll know exactly how much they're getting. In the end term we are really relying on these plans to have districts described to us what they're doing. So at a minimum we can at least know what they're telling us they are doing.",0.0
False,,"Thank you Madame Chair. As many of you know, I've been a big advocate of the courts and fought like heck to ensure that the trial court's get as much funding. Hopefully, you have seen the recent audit by the state auditor, which was very enlightening and unbelievably disturbing in a lot of ways. I might be one that on this panel that may be looking at doing things another way, at cutting the court budget because of some of the problems that we see in that while trial court rooms are being closed all across this state for lack of funds. We're paying about 8 managers $179,000, more than your boss the governor, more than the general manager department of general services who manages thousands of employees, which is about 800 employees, averaging about $28,000 than anybody else at that same level.",0.0
False,,"In addition, they're maintaining the fleet about 66 cars. 7.2 million employees are part time and could have been done by the trial courts, but they're being charged for that. There is about $30 million in questionable court spending and salaries. The audit points out about $186 million that could go directly to trial courts, which everyone who was here the last two years on the budget, that I've been here, that was the number one priority: getting money to the trial court. It looks like there's hundreds of millions not getting to them because AOC and judicial council. I was the director of real estate. We're leasing space in San Francisco, instead of here in Sacramento.",0.0
False,,"People aren't together with their managers and with their employees. I'll do it for free. I used to be Director of Real Estate. I will get that done pretty quick. So, this kind of Marie Antoinette feeling ""let them eat cake"", I know it is only 4.2% of the budget, but those individuals make 100% of the decisions on the budget. I just want to know if the governor has any -  I know that the audit came out about the same time as the budget coming out, but he does he have any feelings on what we can do? Should we start by cutting it by $93 million until they can prove that they can come up with a over $186 million worth of savings and efficiencies because I'm trying to get a quarter-of-a-billion back to the trial courts, which we can do if everyone's cooperative on the judicial council and AOC side.",0.0
False,,"Thank you.  My name's Will Barrett.  I'm a senior policy analyst for the American Lung Association of California.  I'm also speaking today for the Coalition for Clean Air and the 70 organizations that make-up the Central Valley Air Quality Coalition, or CVAQC.",0.0
False,,"We're all in strong support of Dr. Capitman's appointment to the governing board today and urge you to move this forward.  As you heard, Dr. Capitman  is committed to building coalitions in leadership for community health in the San Joaquin Valley and to really highlighting the air pollution burdens on valley children, seniors, and disadvantaged communities through his research and educational efforts.",0.0
False,,"Since his appointment to the board, he's already demonstrated his commitment to disadvantage communities by meeting regularly with community members to hear concerns, formulate solutions, and to bring a high-level of analysis of the community impacts to the board decisions.",0.0
False,,"Given the severe nature of air pollution challenges facing valley residents, Dr. Capitman's experience, expertise, and dedication are vital to leading the value to a prosperous and cleaner future.  So, we urge you to support this nomination and thank you Dr. Capitman for your service. Thank you.",0.0
False,,"Jennifer Kuhn Leg Analyst, our understanding is that the U.C.  budget has become quite interesting, because on the one hand the Governor is expressing concern about their costs; about the cost per degree, there part cost per completion that cost per student. At the same time providing some money for the cost to go up without enrollment growth. So, it's just an  even higher spending per degree, higher spending per student.",0.0
False,,"So, I think this is just trying to foster a conversation; let's be comfortable as a state, as a University that whatever costs are generated are important enough that folks are willing to share in the funding of them. And again, it's just within this broader context of if there is a concern with costs at U.C.'s let's sort of try to address it coherently as opposed to in pieces.",0.0
False,,"Mr. President, members. Carl London here on behalf of the California Disability Services Association.",0.0
False,,"Excellent, thank you Madame Chair.  Jeff Vaca representing the California Association of School Business Officials and many of the folks that we represent the chief business officials and the school districts.",0.0
False,,"I think they're widely considered to be the numbers people. I think we view them and our organization as much more than that. But they are the ones that are, for the most part, tasked with making the numbers piece of the LCFF and the LCAPs work.",0.0
False,,"And I just want to build on a couple of comments that were made during the hearing today. One is to point out and I don't recall if Mr. Cabral mention this in his testimony, but I know it's in the report that the legislative analyst released this week,",0.0
False,,"that there were some changes made in the LCAP template over the summer as the State Board was working through the process of the regulations, and so districts will be working with a new LCAP template in year two",0.0
False,,than they were working within year one. And I think the changes that were made and that LCP template were all positive changes and I think that they will go a long way towards the,0.0
False,,"user friendliness of the document both from the district standpoint, the LEA standpoint, and the standpoint of communities.",0.0
False,,"And then just very quickly, when my sons are going through a program in elementary school called Partners in Learning, the teacher said until she was blue in the face that learning is a journey not a race, and I think that we would hope that people view this",0.0
False,,LCFF implementation period as a transitional period. This is the most radical change in the way that we fund schools that has taken place in the last forty years.,0.0
False,,"I don't think any CBO would tell you that their LCAP in the first-year was perfect. I've seen some things myself that have made me slap my forehead, and, but I think that they want to get better. And I think that our organization wants to be part of the solution rather than part of the problem.",0.0
False,,"There's a lot of good will out there. Everybody shares the same goals and I'm emphasizing what board Member Ms. Burr said, you know, I hope you stay focused on support rather than on punitive measures when we get to the speaking about the role of the CEE. Thank you.",0.0
False,,"Good afternoon, Steve Cruz on behalf of The California Building Industry, so first I want to start with the thank you for the bond is critical to the housing and development so your work and craft of the bond, and delivery, I think it was a hundred eighteen votes in support was very impressive, so now as you move to implementation I would echo comments made about today about moving officially and deliberately of course through the process as you know for housing development. We have to plan a twenty-year horizon as a result of the show me the water laws, so projects that are before local councils and local governments today have to demonstrate dedicated funding source for those projects twenty years out so the faster that you move, the faster that less projects are threatened at the local level and they're all important us.",0.0
False,,"Senator Nielsen mentioned surface storage, that's certainly critical for ground water storage, but recycle water, conservation, home builders have come a long way in making homes more efficient so that's an important component to it, desalination, all those things are very important, the last thing I would say, sort of guard against, you know, rewriting the bond in ways that aren't consistent with the will of that the legislature, the voters, and I think that's important, and really want to continue to work with this committee, and would love an opportunity to come at a later date if you think that's important to have a further input, so thank you again.",0.0
False,,"Mr. President and members, Carl London, here on behalf of the California Disability Services Association, also note that I'm a parent as well.",0.0
False,,And also serve on the board of directors of a community-based nonprofit that serves approximately 400 people in the Sacramento region.,0.0
False,,"We're in strong support of Mr. Rogers, hard to say anything bad about Mr. Rogers isn't it? But we're in strong support of Mr. Rogers taking this job, I think he said it extremely well, we need a leader right now.",0.0
False,,"We don't need a caretaker, we don't need somebody to push the same old policies. You guys hit all the right nails on the head today in this hearing and I want to thank you for that.",0.0
False,,"Because it's not just $500,000,000 tied up in these centers, there's also probably a half billion, maybe $700,000,000 in property that goes along with this and right now,",0.0
False,,"this administration has talked about transferring, closing all of those at some point and transferring none of the assets into the community while continuing a policy of not raising any of the rates for the programs in the community serving 288,000 people. That's where we are today. We need leadership.",0.0
False,,"We need a different solution, a paradigm shift in thinking. We're hopeful that this gentleman will be allowed to explore that, but if not, we absolutely need the legislature to bring the heat to make that happen. Thank you very much.",0.0
False,,"Mr. Chair and members, Rand Martin on behalf of the AIDS Healthcare Foundation.",0.0
False,,"AHF is the largest medical care provider, private provider, in the world for people with HIV and AIDS, about 380,000 patients worldwide, 16,000 patients here in our home state of California. This is a huge issue. We appreciate the Governor and the department recognize the importance of it and carving out a certain amount of money to help close the gap.",0.0
False,,"The problem though, is not making sure that we have the money. The problem is making sure that drug prices are fair and rational and work well within the construct of our state budget. We need to make changes in how we fund drug prices, not putting in 300 million dollars for this and 300 million dollars for that. Mr. Chiu, we appreciate your taking a leadership role.",0.0
False,,"For those who don't know, Mr. Chiu has introduced a bill, I think as of today, that begins the process of trying to get the drug prices under control. The last thing I'd like to point out is, this is not just a hep C issue. While hep C is important to AHF because it's often a comorbidity of people with HIV, anti-retro-virals for people with HIV have been a huge problem in terms of pricing, for more than a decade.",0.0
False,,"And we've been trying to get those prices under control. The department has work to do that as well. We've had some success, but not nearly as much success as we need to get this whole issue under control. We encourage the legislature to really aggressively take on this issue from a policy standpoint as much as from a budget standpoint. Thank you.",0.0
False,,"Thank you Mr. Chair and members, Nick Louizos on behalf of the California Association of Health Plans. We're very interested in this 300 million dollar set-aside for one hepatitis C therapy, which there's no dispute. The importance of these new therapies on medical treatment.",0.0
False,,"And, we're also very interested in the role that  our member health plans can play in the worker process down the line as it's fully developed. So while we're encouraged that the administration is taking this very seriously, it is very worrisome from our perspective that the state even has to set aside this large amount of funding just for one particular drug.",0.0
False,,"Particularly, since the pricing of these drugs is somewhat of a mystery. A few weeks ago, in the Senate Health Committee, the representative for one of the manufactures stated in committee that they do not base their pricing for these drugs on the cost of development, which we find to be very curious.",0.0
False,,"So, from our perspective the 300 million dollar set-aside may not truly reflect on the entire cost to the state as has been discussed. Some of our MediCal managed care plans are still working with the state to receive other supplemental kick payment for hepatitis C drugs.",0.0
False,,"So, again the 300 million dollars may not entirely reflect that, and we have some questions in the department on that issue. Ultimately, we are encouraged that the LAO be taking a second look at this at the time, and they may revise. It might do us good to ask the LAO or some other state entity to take a longer-term, longitudinal approach, I've always wanted to say that word on the mic, with respect to the analysis.",0.0
False,,"It's very important, in 2015 it's expected that about 12 new blockbuster drugs will be entering the market, so how are we going to pay for these in public programs in the commercial market, and that's a huge concern for us. Thank you.",0.0
False,,"Thank you Mr. Chair and Members Nick Louizos on behalf of the California Association of Health Plans. While we don't have a formal written position on this particular proposal yet, we have supported similar proposals in the past. We do think the underlying value here is coordination and continuity of care in a logical enrollment process that is designed to reflect at least other aspects of the health care system. So, if this item is held open, we hope it's given fair consideration and some reflection, particularly since the department has gone a long way in limiting if you will the proposal, at least in comparison to proposals that have been offered in the past. So we hope that you will fairly consider it as it's held open thank you.",0.0
False,,"Thank you, Chairman Quirk, Chairwoman from the state senate. This is a very important hearing. What will happen today hopefully will start the discussion, but more important, start us looking at solutions and how we curb the amount of police abuse that are going on not only in California but in the nation. It is my hope that California becomes the example and the template for how you reduce police violence and brutality.",0.0
False,,"The alarming thing for me has always been as we look at our clock, that every 28 hours, an African-American male is killed by law enforcement. And that is an abysmal statistic that we have in this country.",0.0
False,,"But I also realize, talking to people like Connie Rice in Los Angeles, a civil rights lawyer who for years sued LAPD. In fact, she prides herself as suing, having more lawsuits against LAPD than anybody else.",0.0
False,,But she's now working within the Los Angeles Police Department with Chief Beck to come up with alternatives to how you solve this problem.,0.0
False,,"And so as we start looking at how we solve the problem, I'm hoping that we start looking at getting more people of color, women, starting to join the ranks of law enforcement.",0.0
False,,"That we don't have all white male law enforcement agencies in this state or in this country. Because I believe they are the solution for how to stem what's going on, but also doing a paradigm shift in the way we police and the way we interact with the public.",0.0
False,,And so I want to thank Senator Hancock and Assembly Member Quirk for pulling together this committee. I'm looking forward to getting some input.,0.0
False,,"But the most important thing that I'm looking forward to doing is coming up with some solutions that will not only benefit California, but will benefit this country. Thank you.",0.0
False,,"So, I'm gonna go at it from a different angle. On attaining what you believe would be the proper amount of use of force data. One, I want to know what information you would need to be able to produce that for this committee, what kind of resources you would need to implement that within DOJ,",0.0
False,,"and I would also add, you have two members of public safety budget, public safety number five, you have Mr. Lackey here and myself here, so think of us as Santa Claus, and we might be able to provide you all the staffing and money that you need.",0.0
False,,"But we also need to know, what do you need to do to compile the amount of information you need to give an effective reporting back to us, and how long would that take?",0.0
False,,"Maybe we can talk about this offline, because I don't want... I have people coming to my office that want to legislate it.",0.0
False,,"And if we can do it through the budget process, which would be quicker, faster, much more effective, I would like to do it that way.",0.0
False,,"Otherwise we'll be, you know, six months, eight months down the road through the legislative process and then it's gonna take you another probably year to get funding to get ramped up. Let's get all the way to the funding and ramped up part. You can come to my office, we can sit and I can give you the parameters of what everyone's looking for as far as use of force, and what we ultimately want to find, both on law enforcement side and on the public side.",0.0
False,,"- And thank you for your testimony. My question's just a little bit different. You're an African American male who's within the system that's dealing with your colleagues, your law enforcement officers. And I know there's a code of silence and I know there is this thing where you don't basically rat out another fellow officer.",0.0
False,,"How do you handle it when you know some of your fellow officers aren't behaving appropriately? You know inside of your heart you need to say something, you need to do something to stop that behavior because with one or two of you do something wrong, you're all painted with the same brush.",0.0
False,,"Heaven knows any elected official will tell you that. What that feels like. But how do you handle that, so that this distrust or even the rogue cops, they're doing things that are illegal or brutalizing the community. You know it. You know who they are. How do you personally handle that?",0.0
False,,It might be why we need more like you on the force.,0.0
False,,Thank you.,0.0
False,,"Yes, it's good to see you, Sheriff Christianson, and Deputy Sheriff Brown, just need to let you know that the Ceasefire One Program is something that we're gonna look at it budgets of five, I haven't told Assembly Member Lackey yet, but we're looking to hopefully fund it in the CalGRIP program. So I just gave him a heads up.",0.0
False,,"Well, it's the CalGRIP program, so hopefully it trickles down to the appropriate people. Actually my question is for Tingirides because I work with Connie Rice, and she mentioned you. Actually I have three questions. And two of them is just because I wanna verify whether or not it's an urban legend. Plus a lot of these stories don't get out.",0.0
False,,"Especially the good stories with LAPD and I would like for you to repeat it, not only here for us in the committee, but also for everyone in the audience, that when you change the way you police, you get some unintended consequences that could be very very good.",0.0
False,,"And so I just need to verify, one, well it's about Christopher Dornan, and when he went on his crazy rampage against officers, it's my understanding he was going to try to go and kill a former Captain that he used to have, and he was going after them, and the Bounty Hunter Crips gang, which is your natural adversary within the Nickerson Projects, I believe they wanted to help.",0.0
False,,"The other story, which I saw on the L.A. Times, I saw somebody in a bathing suit with two African American males next to them, and I guess they had been orphaned, and I guess someone from your unit also was adopting them or thinking about adopting them.",0.0
False,,"And then my third question, you need to verify whether or not these stories, or at least give me the straight poop of what really happened. And then the third thing is, Connie talked about funding, Connie Rice, getting it off the ground, ensuring that the officers are there for five years, so that there's some continuity.",0.0
False,,"Looking at the way you do policing in a different way, giving you incentives for doing keeping people off the street, getting kids out of gangs, and that's how you get paid, and that's how you get your ""atta boys"" by doing that more so.",0.0
False,,"But where are you now? As far as, that was five years, you started in 2011, we're here now, will you continue to be funded, do we need to worry about whether or not this program starts to wane after so many years?",0.0
False,,Two young boys that were in the newspaper.,0.0
False,,Oh okay.,0.0
False,,Miss Weber was first.,0.0
False,,"Afternoon, Rosa Aqeel with Pico, California. I just wanted to make a couple observations. First, I think it's really unfortunate that all of the law enforcement officers have left. I think that if those are the good guys, then that's really, really concerning. I would hope that they would wanna hear what the community has to say, especially given that most of the folks that are speaking are folks of color.",0.0
False,,"I also wanna underscore one of the points that Doctor Webber made, and that is that not a single one of the officers really owned up to the state sanctioned violence that they are a part of. Whether directly or indirectly.",0.0
False,,"And I think that while the intention of trying to show the ""good guys"" is okay, I think what it ends up doing, when you have officer after officer try to prove that they're the good guys instead of acknowledging that there's a problem, all it does is further build distrust.",0.0
False,,And it builds the chasm that exists already between communities of color and law enforcement. So I think that we have to be really thoughtful about what that's really saying.,0.0
False,,"Because if those really are the good guys and not even the good guys will say that black lives matter, that people of color matter, that there are things that are messed up in existing practices, then how are we ever to trust them? If not even those few will own up to that truth. So I think that--",0.0
False,,"Some of what today has done, it has actually made things a little bit worse.",0.0
False,,If I may just...,0.0
False,,"Thank you, Mr. Chair and members, Christina DiCaro, along with Mike Dillon, we're the lobbyist for the California Library Association, and we're here to thank the Governor and the department of finance for recognizing the role of public libraries when they crafted the adult education trailer budget language that was just recently released.",0.0
False,,"We spend a lot of time during the fall with Mr. Osmena from the department of finance and his colleagues, and they wanted to know about the literacy services we're providing. One of the most unique services we're providing is for the really low literate learners, those that are 0 to Grade 5, and as we prepare them and then they are sufficiently accomplished enough to enter a 5th grade program at the K-12 or the community college level.",0.0
False,,"But, what we're hearing is there's about 4 million of these really low level literate learners out there that we're attending to, but we've got about 4000 people on a waitlist right now that we're trying to serve, and what we were really just asking for during our discussions with department of finance was for some acknowledgement of the role that public libraries play in the service, and thankfully the trailer bill language does acknowledge the good work that we do.",0.0
False,,"Just mentioned, we are not interested in any Prop. 98 monies. We would be interested in contracting out model, of course, we are funded through non-98 dollars and we might be back before you arguing for some more literacy dollars in the non-98 camp.",0.0
False,,"But we'd just like to thank the Governor's office, we'd like to continue working with you and Mr. Block and the Sub-committee in the weeks to come, thank you so much.",0.0
